index,Year,EmployerName,DepartmentOrSubdivision,Position,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages
56,2009,Carlsbad,Fire Emergency Operations,Paramedic Firefighter,63335,76984.0,73224.0,,,,,73224.0
57,2009,Carlsbad,Fire Emergency Operations,Paramedic Firefighter,63335,76984.0,141955.0,,,,,141955.0
58,2009,Carlsbad,Fire Emergency Operations,Paramedic Firefighter,63335,76984.0,105786.0,,,,,105786.0
59,2009,Carlsbad,Fire Emergency Operations,Paramedic Firefighter,63335,76984.0,90576.0,,,,,90576.0
60,2009,Carlsbad,Fire Emergency Operations,Paramedic Firefighter,63335,76984.0,101948.0,,,,,101948.0
61,2009,Carlsbad,Fire Emergency Operations,Paramedic Firefighter,63335,76984.0,100489.0,,,,,100489.0
62,2009,Carlsbad,Fire Emergency Operations,Paramedic Firefighter,63335,76984.0,123965.0,,,,,123965.0
63,2009,Carlsbad,Fire Emergency Operations,Paramedic Firefighter,63335,76984.0,7636.0,,,,,7636.0
64,2009,Carlsbad,Fire Emergency Operations,Paramedic Firefighter,63335,76984.0,138663.0,,,,,138663.0
65,2009,Carlsbad,Fire Emergency Operations,Paramedic Firefighter,63335,76984.0,58457.0,,,,,58457.0
66,2009,Carlsbad,Fire Emergency Operations,Paramedic Firefighter,63335,76984.0,100993.0,,,,,100993.0
67,2009,Carlsbad,Fire Emergency Operations,Paramedic Firefighter,63335,76984.0,121525.0,,,,,121525.0
68,2009,Carlsbad,Fire Emergency Operations,Paramedic Firefighter,63335,76984.0,98489.0,,,,,98489.0
69,2009,Carlsbad,Fire Emergency Operations,Paramedic Firefighter,63335,76984.0,112543.0,,,,,112543.0
70,2009,Carlsbad,Fire Emergency Operations,Paramedic Firefighter,63335,76984.0,105297.0,,,,,105297.0
71,2009,Carlsbad,Fire Emergency Operations,Paramedic Firefighter,63335,76984.0,104386.0,,,,,104386.0
72,2009,Carlsbad,Fire Emergency Operations,Paramedic Firefighter,63335,76984.0,76231.0,,,,,76231.0
73,2009,Carlsbad,Fire Emergency Operations,Paramedic Firefighter,63335,76984.0,97231.0,,,,,97231.0
74,2009,Carlsbad,Fire Emergency Operations,Paramedic Firefighter,63335,76984.0,103226.0,,,,,103226.0
75,2009,Carlsbad,Fire Emergency Operations,Paramedic Firefighter,63335,76984.0,78056.0,,,,,78056.0
76,2009,Carlsbad,Fire Emergency Operations,Paramedic Firefighter,63335,76984.0,72651.0,,,,,72651.0
77,2009,Carlsbad,Fire Emergency Operations,Paramedic Firefighter,63335,76984.0,119072.0,,,,,119072.0
78,2009,Carlsbad,Fire Emergency Operations,Paramedic Firefighter,63335,76984.0,111861.0,,,,,111861.0
79,2009,Carlsbad,Fire Emergency Operations,Paramedic Firefighter,63335,76984.0,75232.0,,,,,75232.0
80,2009,Carlsbad,Fire Emergency Operations,Paramedic Firefighter,63335,76984.0,327.0,,,,,327.0
81,2009,Carlsbad,Fire Emergency Operations,Paramedic Firefighter,63335,76984.0,98142.0,,,,,98142.0
82,2009,Carlsbad,Fire Emergency Operations,Paramedic Firefighter,63335,76984.0,91194.0,,,,,91194.0
83,2009,Carlsbad,Fire Emergency Operations,Paramedic Firefighter,63335,76984.0,79641.0,,,,,79641.0
84,2009,Carlsbad,Fire Emergency Operations,Paramedic Firefighter,63335,76984.0,23604.0,,,,,23604.0
85,2009,Carlsbad,Fire Emergency Operations,Paramedic Firefighter,63335,76984.0,100107.0,,,,,100107.0
86,2009,Carlsbad,Fire Prevention,Fire Marshal,88500,128300.0,126839.0,,,,,126839.0
87,2009,Carlsbad,Fire Prevention,Fire Prevention Specialist II,60763,73857.0,80574.0,,,,,80574.0
88,2009,Carlsbad,Fire Prevention,Fire Prevention Specialist II,60763,73857.0,88866.0,,,,,88866.0
89,2009,Carlsbad,Fire Prevention,Fire Prevention Specialist II,60763,73857.0,82689.0,,,,,82689.0
90,2009,Carlsbad,Fire Prevention,Hourly/Fire Sworn,41600,208000.0,3575.0,,,,,3575.0
91,2009,Carlsbad,Fire Support Services,Fire Battalion  Chief,88500,128300.0,149060.0,,,,,149060.0
249,2009,Chula Vista,Fire,Deputy Fire Chief,117828,143221.0,140686.0,,,,,140686.0
250,2009,Chula Vista,Fire,Deputy Fire Chief,117828,143221.0,149349.0,,,,,149349.0
251,2009,Chula Vista,Fire,Fire Battalion Chief (112 Hr),92485,112417.0,169839.0,,,,,169839.0
252,2009,Chula Vista,Fire,Fire Battalion Chief (112 Hr),92485,112417.0,153541.0,,,,,153541.0
253,2009,Chula Vista,Fire,Fire Battalion Chief (112 Hr),92485,112417.0,186826.0,,,,,186826.0
254,2009,Chula Vista,Fire,Fire Battalion Chief (112 Hr),92485,112417.0,168800.0,,,,,168800.0
255,2009,Chula Vista,Fire,Fire Battalion Chief (112 Hr),92485,112417.0,139252.0,,,,,139252.0
256,2009,Chula Vista,Fire,Fire Battalion Chief (80 Hr),92485,112417.0,158133.0,,,,,158133.0
257,2009,Chula Vista,Fire,Fire Battalion Chief (80 Hr),92485,112417.0,221031.0,,,,,221031.0
258,2009,Chula Vista,Fire,Fire Captain (112 Hr),74239,90239.0,131967.0,,,,,131967.0
259,2009,Chula Vista,Fire,Fire Captain (112 Hr),74239,90239.0,106982.0,,,,,106982.0
260,2009,Chula Vista,Fire,Fire Captain (112 Hr),74239,90239.0,149431.0,,,,,149431.0
261,2009,Chula Vista,Fire,Fire Captain (112 Hr),74239,90239.0,145762.0,,,,,145762.0
262,2009,Chula Vista,Fire,Fire Captain (112 Hr),74239,90239.0,132485.0,,,,,132485.0
263,2009,Chula Vista,Fire,Fire Captain (112 Hr),74239,90239.0,136285.0,,,,,136285.0
264,2009,Chula Vista,Fire,Fire Captain (112 Hr),74239,90239.0,132300.0,,,,,132300.0
265,2009,Chula Vista,Fire,Fire Captain (112 Hr),74239,90239.0,114405.0,,,,,114405.0
266,2009,Chula Vista,Fire,Fire Captain (112 Hr),74239,90239.0,134702.0,,,,,134702.0
267,2009,Chula Vista,Fire,Fire Captain (112 Hr),74239,90239.0,142685.0,,,,,142685.0
268,2009,Chula Vista,Fire,Fire Captain (112 Hr),74239,90239.0,127979.0,,,,,127979.0
269,2009,Chula Vista,Fire,Fire Captain (112 Hr),74239,90239.0,135529.0,,,,,135529.0
270,2009,Chula Vista,Fire,Fire Captain (112 Hr),74239,90239.0,111498.0,,,,,111498.0
271,2009,Chula Vista,Fire,Fire Captain (112 Hr),74239,90239.0,124569.0,,,,,124569.0
272,2009,Chula Vista,Fire,Fire Captain (112 Hr),74239,90239.0,132874.0,,,,,132874.0
273,2009,Chula Vista,Fire,Fire Captain (112 Hr),74239,90239.0,67998.0,,,,,67998.0
274,2009,Chula Vista,Fire,Fire Captain (112 Hr),74239,90239.0,132818.0,,,,,132818.0
275,2009,Chula Vista,Fire,Fire Captain (112 Hr),74239,90239.0,132471.0,,,,,132471.0
276,2009,Chula Vista,Fire,Fire Captain (112 Hr),74239,90239.0,122696.0,,,,,122696.0
277,2009,Chula Vista,Fire,Fire Captain (112 Hr),74239,90239.0,143192.0,,,,,143192.0
278,2009,Chula Vista,Fire,Fire Captain (112 Hr),74239,90239.0,167290.0,,,,,167290.0
279,2009,Chula Vista,Fire,Fire Captain (112 Hr),74239,90239.0,144219.0,,,,,144219.0
280,2009,Chula Vista,Fire,Fire Captain (112 Hr),74239,90239.0,107918.0,,,,,107918.0
281,2009,Chula Vista,Fire,Fire Captain (112 Hr),74239,90239.0,126555.0,,,,,126555.0
282,2009,Chula Vista,Fire,Fire Captain (112 Hr),74239,90239.0,123512.0,,,,,123512.0
283,2009,Chula Vista,Fire,Fire Captain (112 Hr),74239,90239.0,121942.0,,,,,121942.0
284,2009,Chula Vista,Fire,Fire Captain (112 Hr),74239,90239.0,85610.0,,,,,85610.0
285,2009,Chula Vista,Fire,Fire Captain (112 Hr),74239,90239.0,131778.0,,,,,131778.0
286,2009,Chula Vista,Fire,Fire Captain (112 Hr),74239,90239.0,128176.0,,,,,128176.0
287,2009,Chula Vista,Fire,Fire Captain (112 Hr),74239,90239.0,107854.0,,,,,107854.0
288,2009,Chula Vista,Fire,Fire Captain (112 Hr),74239,90239.0,130937.0,,,,,130937.0
289,2009,Chula Vista,Fire,Fire Captain (112 Hr),74239,90239.0,139876.0,,,,,139876.0
290,2009,Chula Vista,Fire,Fire Captain (112 Hr),74239,90239.0,142578.0,,,,,142578.0
291,2009,Chula Vista,Fire,Fire Captain (112 Hr),74239,90239.0,142943.0,,,,,142943.0
292,2009,Chula Vista,Fire,Fire Captain (80 Hr),74239,90239.0,173164.0,,,,,173164.0
293,2009,Chula Vista,Fire,Fire Captain (80 Hr),74239,90239.0,95632.0,,,,,95632.0
294,2009,Chula Vista,Fire,Fire Chief,141394,171865.0,182974.0,,,,,182974.0
295,2009,Chula Vista,Fire,Fire Eng (112 Hr),63298,76939.0,153675.0,,,,,153675.0
296,2009,Chula Vista,Fire,Fire Eng (112 Hr),63298,76939.0,109802.0,,,,,109802.0
297,2009,Chula Vista,Fire,Fire Eng (112 Hr),63298,76939.0,108119.0,,,,,108119.0
298,2009,Chula Vista,Fire,Fire Eng (112 Hr),63298,76939.0,102821.0,,,,,102821.0
299,2009,Chula Vista,Fire,Fire Eng (112 Hr),63298,76939.0,86800.0,,,,,86800.0
300,2009,Chula Vista,Fire,Fire Eng (112 Hr),63298,76939.0,87639.0,,,,,87639.0
301,2009,Chula Vista,Fire,Fire Eng (112 Hr),63298,76939.0,85690.0,,,,,85690.0
302,2009,Chula Vista,Fire,Fire Eng (112 Hr),63298,76939.0,103157.0,,,,,103157.0
303,2009,Chula Vista,Fire,Fire Eng (112 Hr),63298,76939.0,117652.0,,,,,117652.0
304,2009,Chula Vista,Fire,Fire Eng (112 Hr),63298,76939.0,98800.0,,,,,98800.0
305,2009,Chula Vista,Fire,Fire Eng (112 Hr),63298,76939.0,94673.0,,,,,94673.0
306,2009,Chula Vista,Fire,Fire Eng (112 Hr),63298,76939.0,127066.0,,,,,127066.0
307,2009,Chula Vista,Fire,Fire Eng (112 Hr),63298,76939.0,128171.0,,,,,128171.0
308,2009,Chula Vista,Fire,Fire Eng (112 Hr),63298,76939.0,111619.0,,,,,111619.0
309,2009,Chula Vista,Fire,Fire Eng (112 Hr),63298,76939.0,97875.0,,,,,97875.0
310,2009,Chula Vista,Fire,Fire Eng (112 Hr),63298,76939.0,85404.0,,,,,85404.0
311,2009,Chula Vista,Fire,Fire Eng (112 Hr),63298,76939.0,100851.0,,,,,100851.0
312,2009,Chula Vista,Fire,Fire Eng (112 Hr),63298,76939.0,85552.0,,,,,85552.0
313,2009,Chula Vista,Fire,Fire Eng (112 Hr),63298,76939.0,119952.0,,,,,119952.0
314,2009,Chula Vista,Fire,Fire Eng (112 Hr),63298,76939.0,118381.0,,,,,118381.0
315,2009,Chula Vista,Fire,Fire Eng (112 Hr),63298,76939.0,109078.0,,,,,109078.0
316,2009,Chula Vista,Fire,Fire Eng (112 Hr),63298,76939.0,109893.0,,,,,109893.0
317,2009,Chula Vista,Fire,Fire Eng (112 Hr),63298,76939.0,110914.0,,,,,110914.0
318,2009,Chula Vista,Fire,Fire Eng (112 Hr),63298,76939.0,111508.0,,,,,111508.0
319,2009,Chula Vista,Fire,Fire Eng (112 Hr),63298,76939.0,97467.0,,,,,97467.0
320,2009,Chula Vista,Fire,Fire Eng (112 Hr),63298,76939.0,110077.0,,,,,110077.0
321,2009,Chula Vista,Fire,Fire Eng (112 Hr),63298,76939.0,109555.0,,,,,109555.0
322,2009,Chula Vista,Fire,Fire Eng (112 Hr),63298,76939.0,98392.0,,,,,98392.0
323,2009,Chula Vista,Fire,Fire Eng (112 Hr),63298,76939.0,76251.0,,,,,76251.0
324,2009,Chula Vista,Fire,Fire Eng (112 Hr),63298,76939.0,112233.0,,,,,112233.0
325,2009,Chula Vista,Fire,Fire Eng (112 Hr),63298,76939.0,112821.0,,,,,112821.0
326,2009,Chula Vista,Fire,Fire Eng (112 Hr),63298,76939.0,101040.0,,,,,101040.0
327,2009,Chula Vista,Fire,Fire Eng (112 Hr),63298,76939.0,92894.0,,,,,92894.0
328,2009,Chula Vista,Fire,Fire Eng (80 Hr),63298,76939.0,165784.0,,,,,165784.0
329,2009,Chula Vista,Fire,Fire Inspector II,58886,71576.0,70776.0,,,,,70776.0
330,2009,Chula Vista,Fire,Fire Inspector II,58886,71576.0,79932.0,,,,,79932.0
331,2009,Chula Vista,Fire,Fire Inspector II,58886,71576.0,82663.0,,,,,82663.0
332,2009,Chula Vista,Fire,Fire Inspector II,58886,71576.0,81865.0,,,,,81865.0
333,2009,Chula Vista,Fire,Fire Inspector II,58886,71576.0,83527.0,,,,,83527.0
334,2009,Chula Vista,Fire,Fire Inspector II (Hrly),57193,69519.0,6166.0,,,,,6166.0
335,2009,Chula Vista,Fire,Fire Prevention Engineer,71024,86330.0,92202.0,,,,,92202.0
336,2009,Chula Vista,Fire,Firefighter (112 Hr),53797,65390.0,81745.0,,,,,81745.0
337,2009,Chula Vista,Fire,Firefighter (112 Hr),53797,65390.0,89666.0,,,,,89666.0
338,2009,Chula Vista,Fire,Firefighter (112 Hr),53797,65390.0,79149.0,,,,,79149.0
339,2009,Chula Vista,Fire,Firefighter (112 Hr),53797,65390.0,89351.0,,,,,89351.0
340,2009,Chula Vista,Fire,Firefighter (112 Hr),53797,65390.0,87198.0,,,,,87198.0
341,2009,Chula Vista,Fire,Firefighter (112 Hr),53797,65390.0,97841.0,,,,,97841.0
342,2009,Chula Vista,Fire,Firefighter (112 Hr),53797,65390.0,84022.0,,,,,84022.0
343,2009,Chula Vista,Fire,Firefighter (112 Hr),53797,65390.0,88231.0,,,,,88231.0
344,2009,Chula Vista,Fire,Firefighter (112 Hr),53797,65390.0,96197.0,,,,,96197.0
345,2009,Chula Vista,Fire,Firefighter (112 Hr),53797,65390.0,75072.0,,,,,75072.0
346,2009,Chula Vista,Fire,Firefighter (112 Hr),53797,65390.0,91543.0,,,,,91543.0
347,2009,Chula Vista,Fire,Firefighter (112 Hr),53797,65390.0,76663.0,,,,,76663.0
348,2009,Chula Vista,Fire,Firefighter (112 Hr),53797,65390.0,84934.0,,,,,84934.0
349,2009,Chula Vista,Fire,Firefighter (112 Hr),53797,65390.0,75837.0,,,,,75837.0
350,2009,Chula Vista,Fire,Firefighter (112 Hr),53797,65390.0,86410.0,,,,,86410.0
351,2009,Chula Vista,Fire,Firefighter (112 Hr),53797,65390.0,87947.0,,,,,87947.0
352,2009,Chula Vista,Fire,Firefighter (112 Hr),53797,65390.0,76186.0,,,,,76186.0
